chr	start	end	cytoband
1	0	2300000	1p36.33
1	2300000	5300000	1p36.32
1	5300000	7100000	1p36.31
1	7100000	9100000	1p36.23
1	9100000	12500000	1p36.22
1	12500000	15900000	1p36.21
1	15900000	20100000	1p36.13
1	20100000	23600000	1p36.12
1	23600000	27600000	1p36.11
1	27600000	29900000	1p35.3
1	29900000	32300000	1p35.2
1	32300000	34300000	1p35.1
1	34300000	39600000	1p34.3
1	39600000	43700000	1p34.2
1	43700000	46300000	1p34.1
1	46300000	50200000	1p33
1	50200000	55600000	1p32.3
1	55600000	58500000	1p32.2
1	58500000	60800000	1p32.1
1	60800000	68500000	1p31.3
1	68500000	69300000	1p31.2
1	69300000	84400000	1p31.1
1	84400000	87900000	1p22.3
1	87900000	91500000	1p22.2
1	91500000	94300000	1p22.1
1	94300000	99300000	1p21.3
1	99300000	101800000	1p21.2
1	101800000	106700000	1p21.1
1	106700000	111200000	1p13.3
1	111200000	115500000	1p13.2
1	115500000	117200000	1p13.1
1	117200000	120400000	1p12
1	120400000	121700000	1p11.2
1	121700000	123400000	1p11.1
1	123400000	125100000	1q11
1	125100000	143200000	1q12
1	143200000	147500000	1q21.1
1	147500000	150600000	1q21.2
1	150600000	155100000	1q21.3
1	155100000	156600000	1q22
1	156600000	159100000	1q23.1
1	159100000	160500000	1q23.2
1	160500000	165500000	1q23.3
1	165500000	167200000	1q24.1
1	167200000	170900000	1q24.2
1	170900000	173000000	1q24.3
1	173000000	176100000	1q25.1
1	176100000	180300000	1q25.2
1	180300000	185800000	1q25.3
1	185800000	190800000	1q31.1
1	190800000	193800000	1q31.2
1	193800000	198700000	1q31.3
1	198700000	207100000	1q32.1
1	207100000	211300000	1q32.2
1	211300000	214400000	1q32.3
1	214400000	223900000	1q41
1	223900000	224400000	1q42.11
1	224400000	226800000	1q42.12
1	226800000	230500000	1q42.13
1	230500000	234600000	1q42.2
1	234600000	236400000	1q42.3
1	236400000	243500000	1q43
1	243500000	248956422	1q44
10	0	3000000	10p15.3
10	3000000	3800000	10p15.2
10	3800000	6600000	10p15.1
10	6600000	12200000	10p14
10	12200000	17300000	10p13
10	17300000	18300000	10p12.33
10	18300000	18400000	10p12.32
10	18400000	22300000	10p12.31
10	22300000	24300000	10p12.2
10	24300000	29300000	10p12.1
10	29300000	31100000	10p11.23
10	31100000	34200000	10p11.22
10	34200000	38000000	10p11.21
10	38000000	39800000	10p11.1
10	39800000	41600000	10q11.1
10	41600000	45500000	10q11.21
10	45500000	48600000	10q11.22
10	48600000	51100000	10q11.23
10	51100000	59400000	10q21.1
10	59400000	62800000	10q21.2
10	62800000	68800000	10q21.3
10	68800000	73100000	10q22.1
10	73100000	75900000	10q22.2
10	75900000	80300000	10q22.3
10	80300000	86100000	10q23.1
10	86100000	87700000	10q23.2
10	87700000	91100000	10q23.31
10	91100000	92300000	10q23.32
10	92300000	95300000	10q23.33
10	95300000	97500000	10q24.1
10	97500000	100100000	10q24.2
10	100100000	101200000	10q24.31
10	101200000	103100000	10q24.32
10	103100000	104000000	10q24.33
10	104000000	110100000	10q25.1
10	110100000	113100000	10q25.2
10	113100000	117300000	10q25.3
10	117300000	119900000	10q26.11
10	119900000	121400000	10q26.12
10	121400000	125700000	10q26.13
10	125700000	128800000	10q26.2
10	128800000	133797422	10q26.3
11	0	2800000	11p15.5
11	2800000	11700000	11p15.4
